case,metric,name,value,limit,passed
1ZARC exact,R_inf,1ZARC exact: R_inf,0.001834340029393644,<= 0.05 relative error,True
1ZARC exact,R_pol,1ZARC exact: R_pol,0.0028753206090935636,<= 0.20 relative error,True
1ZARC exact,tau peak,1ZARC exact: tau peak,0.004326328800988906,<= 0.35 log10 decades,True
1ZARC exact,impedance residual,1ZARC exact: impedance residual,0.0003473558053543659,<= 0.06 relative residual,True
1ZARC noisy,R_inf,1ZARC noisy: R_inf,0.0010727674901875872,<= 0.05 relative error,True
1ZARC noisy,R_pol,1ZARC noisy: R_pol,0.003070292197103015,<= 0.20 relative error,True
1ZARC noisy,tau peak,1ZARC noisy: tau peak,0.006798516687268785,<= 0.35 log10 decades,True
1ZARC noisy,impedance residual,1ZARC noisy: impedance residual,0.0021477978581947196,<= 0.06 relative residual,True
2ZARC0.csv,total R_pol,2ZARC0.csv: total R_pol,0.0002500372158909737,<= 0.25 relative error,True
2ZARC0.csv,two-peak tau recovery,2ZARC0.csv: two-peak tau recovery,0.20000000000000015,<= 0.45 log10 decades,True
2ZARC1.csv,total R_pol,2ZARC1.csv: total R_pol,0.0006068117680624797,<= 0.25 relative error,True
2ZARC1.csv,two-peak tau recovery,2ZARC1.csv: two-peak tau recovery,0.0,<= 0.45 log10 decades,True
2ZARC2.csv,total R_pol,2ZARC2.csv: total R_pol,0.0014153454051324843,<= 0.25 relative error,True
2ZARC2.csv,two-peak tau recovery,2ZARC2.csv: two-peak tau recovery,0.0,<= 0.45 log10 decades,True
2ZARC3.csv,total R_pol,2ZARC3.csv: total R_pol,4.6698296622380174e-05,<= 0.25 relative error,True
2ZARC3.csv,two-peak tau recovery,2ZARC3.csv: two-peak tau recovery,0.0,<= 0.45 log10 decades,True
2ZARC4.csv,total R_pol,2ZARC4.csv: total R_pol,0.0016208854232916648,<= 0.25 relative error,True
2ZARC4.csv,two-peak tau recovery,2ZARC4.csv: two-peak tau recovery,0.0,<= 0.45 log10 decades,True
2ZARC5.csv,total R_pol,2ZARC5.csv: total R_pol,0.0018317608377190352,<= 0.25 relative error,True
2ZARC5.csv,two-peak tau recovery,2ZARC5.csv: two-peak tau recovery,0.0,<= 0.45 log10 decades,True
Bayesian smoke,credible arrays finite,Bayesian credible arrays finite,finite,all finite,True
Bayesian smoke,credible intervals ordered,Bayesian credible intervals ordered,ordered,lower <= mean <= upper,True
BHT smoke,returns status,BHT returns status,success,explicit success=True,True
BHT smoke,scores finite,BHT scores finite,finite,"all expected scores present, nonempty, and finite",True
BHT smoke,DRT availability,BHT DRT availability,unavailable/nonvalidated,score success; DRT only after explicit validation,True
